fid;eth_address
1102891;0x64c331e992059675ae0575e6ee1753e6199610bc
227334;0x82696262586f0a6ca585084dfb5aaab7f5263409
281335;0xb530b56ea80f9e317fa55d85a489ff0bdad733fd
1047198;0x3f37abfa16f53bf595c7f330b810936e4c98c443
469543;0x7290764e89eaab4405bd99cc7e34185e3b75e2b7
373827;0x93446555032fab81f5e8a0814f992b318a121963
422604;0x7b836dfe1879b0d49c10a56af558b0ad5aaf21cd
1059519;0x768c0ab659fa2ac79bc5b50cf65118e18a01b817
385012;0xa7beb78405299d1fc1f259cd6abbc192f4fd855e
701676;0x3fe85b774fe15389597a08130737ed7514c52c03
1032957;0xcb9ad479523e72942d76de3c4490c5272cd4b32e
452932;0x06728d2e26d0dae15c1fdb1c88aa3be4ebd25da6
663529;0x5f8cd7aabc4a3b4c59423ae9f3aababc04253b69
569239;0xd4520aa54f8c860f427d1825190568f9f00fb56b
1049567;0xf2714261515188fe99401a5734cf20a6ff6918d0
797489;0xb9866b21c647825637920d335dd31f25fac81bea
226841;0x0ba92c9b00b6df9146cfe51a3bf954e817143afb
246037;0x8a64ea3bb470d2088116c1c0ed22e862749fe420
1109057;0x2c2565e398dbb45fd51b1868b8a575b100442f99
301868;0x8237ecce0ff3c11a6556fcbc691d41c4d2c04488
485146;0xcb2462a8a5ba35e23f264c0d211b7da5c02b197d
414408;0x3269ab03fe74c05947e7cc25154d06af6966eb98
190012;0xaa9d1b5ef383c95a9b8bccc178cf5dbccee9d4ee
574395;0xe92d0b65232bc4162baebf7b121819ed8ee80b94
300232;0x49547ef3556c92ad15b0e45c22f53916021a0fbe
519795;0x0e42fd6ababd8c8e41e431c1a37b9d47401d14ea
547650;0xad244a8cb95c13a41be25289d4f4da797634619a
798793;0xca952fb20cd6a79e75b5bb2fc07069058bfb18b5
712887;0xbf331a4ac9eb4d50dbfd347a9b69ce1db6b3f97c
1083050;0x47d19a0555a891213eb8ef88e354f4461a4dfd36
1100884;0xc34d8141c61d44ef1dce1b794dd14cc9c476edce
16412;0xc79b3b4bb946702683219fea0aa532452d1db3b2
283301;0x1d4782a8083bffcc39e73d3156a9cdb6d4578b8f
914543;0xc50b836cfe19cea55e2ac009d2c8fde238ddec27
