fid,eth_address
528914,0xbd7f2898ddb39b90b513962f4ccba61238baa073
475488,0x056eb43118ffa352add9cdb9a7d2977a4842b936
416580,0x15c6a4bf9023ad20c51cbea9992a5bccf83f3e7b
321969,0xc2305f95d5858aa0112191ff086b6cea937efc62
245124,0xb3c812d2a9030801e00c961d0e54ddd987123c95
395131,0xb333a2c1a3a7b074e94bf8d0d5bf0021bf0d8f89
4268,0x21a6e51e32ca4d12704e5c380849e525478108d4
420930,0xefb5a1b85250b8cdee363c725b7f6ccfbda68f53
199989,0x66e007f39f48cffa0f59fd4d05aee1031093ed9f
421714,0x15430a7aea7faf8b86b3f7c2a740b4be882a14d3
330083,0xe2e6176c17f2fb434a1bbf3b98b4ff33ab3a7ffb
247143,0x33be45c761b50f44e966d901fa6d0528a74865e5
445796,0xd70c771f337a8493ba6fb6eec4ba9d08cf9a1d0c
483462,0x3ae5d538f2e3bba7949e9bfb46ff664a0e68fc06
245388,0x277b47000e1b88c929c1437713ebfefe1e966a71
261177,0x1bfff6fc3794cf7fa3319bc55430d4e83d608e57
193,0xbae45e042aeb115ade51205be721aacd3610c8ab
214447,0xe068579e46ca32a7ed3d51f217fcc5a0d829fca0
296687,0xd562820feb2bcea2aa06e53d758b33fd28f454e6
409644,0xf5e16c93f3b6e48daa1a08183d85f6034d77147c
261245,0xdfe230e7ea4b83758017655ec8b14a6a42e04952
249958,0xec2a264f7dd45f3b641c4ff44bb9397b66fc40fb
281676,0x341bec84e4fa95b3c00efb6f4b1036aa6b2ac787
306438,0x944fa0f3f2168d4b27110f7f97972ad9425c4f52
268455,0x774a375858f34573f482148cec198e280ee31bc1
459348,0xb44eceec299151800076b8c409344f0199d8e38b
535199,0x0add93d59b76dd06621c9194e7efe56c8023cdac
14364,0x56f7b249226310369b4d26f6ad4f598317e7b03f
11528,0x10676738db9601c5af144a17c3a48c8ebda7e353
292506,0x7a78786d74804effdd3b3b0d5dc05a63a7d8aacd
12938,0x30e5a4e6a52b2d6b891454a0fd04938732c55193
479174,0x6fc4ffe00a0f063ae322a955bda2e55be44cb05a
460666,0xcc9395a5c5d0a11c5e23d0b894b61d03196f6352
482872,0xddf9aedc737d396f6463c6af8460cfc87c246a8b
14607,0x15e0c4889c515dd2c3bf54e711cdce355eac4205
427349,0x644e09bea250a6edd577271b0be08d5fb29f716d
517280,0xb8f420f15eb8ad76c6a82cb0667d95c867c3c0c0
451344,0xddb3d84ccdae7515d8c9ab5466d9369b80d8396d
290139,0x3abec3b1907b4980a6dc7790ef576cb04e54d8e5
529895,0xb05ffdf34503e273bfb4b1a8f52449923625a51a
253127,0x38a0d87bdeac77ac859ac910a588cf80a05d854d
548932,0xa33ef65ebd787803501d3332812668ab8edd8415
15776,0xf0c4ebdeb0f3d5f8e2f45a2b8c4dab3c4939747c
5698,0x964456b75b36a091f5d1e32b548c833b0ed4e623
430120,0xf91e4200414bce8fd2a2d29b3e227c1c65c7b339
248111,0x23018edbfa176bde3dffd5037b206d147f3e3c9f
456627,0x42703f0da3e6100e759a77dae3423dc13fb7d2f6
441238,0xfcf9ca26f0e7410ea262a10843421a09b158989f
288204,0xa0be5a9b02b7b7290f89e4e2a01faf46ef00baf5
8004,0x6a48ade3be3f9f0b8b4c9af61bb654a219311699
475330,0x611f378ebd890ce53fd9fcb834e392e5a845514e
4027,0x2feb373f4f3ffc42c4b917188e1b50a3ffe8a487
377,0xa32ad653ddb29aafaf67ca906f7bcee145444746
412843,0x59f7926317b460ada675aba7a49cddcad664c23b
